,Id,PID,MS SubClass,MS Zoning,Street,Land Contour,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,Total Bsmt SF,Heating QC,Central Air,Electrical,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Paved Drive,Sale Type,SalePrice
10,1044,527451290,160,RM,Pave,Lvl,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,483.0,TA,Y,SBrkr,987,0.0,1,1,1,TA,4,Typ,0,NA,Detchd,1971.0,Unf,1.0,264.0,TA,Y,COD,85400
11,2752,906380150,20,RL,Pave,Lvl,CollgCr,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,1208.0,Ex,Y,SBrkr,1208,0.0,2,0,1,Gd,6,Typ,0,NA,Attchd,2005.0,RFn,2.0,632.0,TA,Y,WD ,183600
12,807,906226060,70,RL,Pave,Bnk,SawyerW,Feedr,1Fam,2Story,5,7,1880,2007,Gable,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,NA,NA,NA,NA,0.0,0.0,Ex,Y,SBrkr,2016,0.0,1,0,1,TA,7,Mod,1,TA,Attchd,1900.0,Unf,2.0,576.0,TA,P,WD ,131000
13,1177,533236070,160,FV,Pave,Lvl,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,960.0,Ex,Y,SBrkr,1607,1.0,2,1,1,Gd,7,Typ,0,NA,Detchd,2000.0,Unf,2.0,480.0,TA,Y,ConLD,200000
14,1480,907418040,20,RL,Pave,Lvl,CollgCr,Norm,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,1351.0,Ex,Y,SBrkr,1361,0.0,2,0,1,Gd,6,Typ,0,NA,Attchd,2007.0,RFn,2.0,610.0,TA,Y,WD ,193000
15,324,923202105,20,RL,Pave,Lvl,Mitchel,Norm,1Fam,1Story,5,5,2004,2005,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,1430.0,Ex,Y,SBrkr,1430,0.0,2,0,1,Gd,7,Typ,0,NA,Attchd,2004.0,RFn,2.0,624.0,TA,Y,WD ,173500
16,1311,902301140,70,RM,Pave,Lvl,OldTown,Norm,1Fam,2Story,5,5,1916,1950,Gable,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,624.0,Fa,N,SBrkr,1344,0.0,1,0,1,TA,7,Typ,0,NA,Detchd,1916.0,Unf,3.0,513.0,Fa,Y,COD,98000
17,770,905101490,20,RL,Pave,Lvl,Sawyer,Feedr,1Fam,1Story,5,6,1963,1963,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,1121.0,TA,Y,SBrkr,1121,1.0,1,0,1,TA,5,Typ,0,NA,Detchd,1963.0,Unf,2.0,480.0,TA,Y,WD ,139000
18,2063,905107140,20,RL,Pave,Lvl,Sawyer,Norm,1Fam,1Story,6,5,1977,1977,Gable,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,660.0,Ex,Y,SBrkr,1285,0.0,1,1,1,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,528.0,TA,Y,WD ,143500
19,69,528458070,60,FV,Pave,Lvl,Somerst,Norm,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,756.0,Ex,Y,SBrkr,1547,0.0,2,1,1,Gd,7,Typ,0,NA,Attchd,2009.0,Unf,2.0,614.0,TA,Y,Con,215200
20,2062,905106150,20,RL,Pave,Lvl,Sawyer,Norm,1Fam,1Story,5,5,1968,1968,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,894.0,Gd,Y,SBrkr,894,0.0,1,0,1,TA,5,Typ,1,Po,Attchd,1968.0,Fin,2.0,450.0,TA,Y,WD ,129000
21,351,527131030,120,RL,Pave,Lvl,StoneBr,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,1501.0,Ex,Y,SBrkr,1659,1.0,2,0,1,Ex,5,Typ,1,Ex,Attchd,2000.0,Fin,2.0,499.0,TA,Y,WD ,278000
22,2393,528142010,60,RL,Pave,Lvl,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,CemntBd,CmentBd,UnKn,-1.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,1209.0,Ex,Y,SBrkr,2253,0.0,2,1,1,Ex,8,Typ,1,Gd,Attchd,2005.0,Fin,2.0,575.0,TA,Y,New,344133
23,12,527165230,20,RL,Pave,Lvl,Gilbert,Norm,1Fam,1Story,6,7,1992,2007,Gable,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,1168.0,Ex,Y,SBrkr,1187,1.0,2,0,1,TA,6,Typ,0,NA,Attchd,1992.0,Fin,2.0,420.0,TA,Y,WD ,185000
24,2339,527250040,190,RL,Pave,Bnk,Gilbert,Norm,2fmCon,1Story,5,5,1955,1955,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,1056.0,TA,N,SBrkr,1056,1.0,1,0,1,TA,5,Typ,0,NA,Attchd,1955.0,Fin,2.0,572.0,TA,Y,WD ,145000
25,624,535104120,20,RL,Pave,Lvl,NAmes,Norm,1Fam,1Story,6,6,1961,1961,Hip,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,1453.0,Ex,Y,SBrkr,1453,1.0,2,0,1,TA,6,Typ,1,TA,Attchd,1961.0,RFn,2.0,530.0,TA,Y,WD ,187500
26,86,532376160,20,RL,Pave,Lvl,Sawyer,RRAe,1Fam,1Story,5,8,1965,2009,Gable,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,894.0,Ex,Y,SBrkr,894,1.0,1,0,1,TA,5,Typ,1,Gd,Detchd,1973.0,Unf,1.0,336.0,TA,Y,WD ,138500
27,1534,909277040,50,RL,Pave,HLS,Crawfor,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,942.0,Ex,Y,SBrkr,1938,0.0,2,0,1,Gd,7,Min2,1,Gd,Detchd,1937.0,Unf,1.0,240.0,TA,Y,WD ,198000
28,2243,911103060,190,C (all),Pave,Lvl,IDOTRR,Feedr,2fmCon,2Story,5,6,1895,2006,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,957.0,Fa,N,SBrkr,1991,0.0,2,0,2,TA,9,Typ,0,NA,NA,0.0,NA,0.0,0.0,NA,N,WD ,119600
29,1957,535450190,50,RL,Pave,Lvl,NAmes,Artery,1Fam,1.5Fin,5,7,1949,2006,Gable,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,672.0,Ex,Y,SBrkr,924,0.0,1,0,1,TA,6,Typ,1,Po,Detchd,2003.0,Unf,2.0,576.0,TA,Y,WD ,122900
30,380,527355150,20,RL,Pave,Lvl,NWAmes,PosN,1Fam,1Story,8,5,1981,1981,Hip,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,2524.0,TA,Y,SBrkr,2524,1.0,2,1,1,Gd,9,Typ,1,Gd,Attchd,1981.0,Fin,2.0,542.0,TA,Y,WD ,278000
31,2860,909276010,70,RL,Pave,HLS,Crawfor,Norm,1Fam,2Story,8,7,1929,1950,Gable,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,792.0,Fa,Y,SBrkr,1517,0.0,1,0,1,Gd,7,Typ,2,Gd,Detchd,1931.0,Unf,2.0,400.0,TA,Y,WD ,230000
32,2517,533250130,120,RL,Pave,Lvl,Veenker,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,1494.0,Ex,Y,SBrkr,1494,1.0,1,1,1,Ex,6,Typ,1,Gd,Attchd,1995.0,Fin,2.0,481.0,TA,Y,WD ,270000
33,1933,535302070,20,RL,Pave,Lvl,NAmes,Norm,1Fam,1Story,6,6,1952,1952,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,441.0,948.0,TA,Y,SBrkr,948,0.0,1,0,1,TA,5,Typ,0,NA,Detchd,1952.0,Unf,2.0,410.0,TA,N,WD ,125000
34,820,906340110,20,RL,Pave,Lvl,CollgCr,Norm,1Fam,1Story,8,5,2007,2008,Hip,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,1705.0,Ex,Y,SBrkr,1718,1.0,2,0,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3.0,826.0,TA,Y,WD ,297000
35,675,535426150,20,RL,Pave,HLS,NAmes,Norm,1Fam,1Story,6,6,1958,1958,Flat,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,0.0,160.0,Fa,Y,SBrkr,1142,0.0,1,0,1,TA,5,Typ,1,Gd,Basment,1958.0,RFn,1.0,384.0,TA,Y,WD ,113500
36,2910,923225240,160,RM,Pave,Lvl,MeadowV,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,548.0,757.0,Ex,Y,SBrkr,1475,0.0,2,0,1,TA,6,Typ,1,TA,Attchd,1977.0,RFn,1.0,336.0,TA,Y,WD ,127000
37,21,527358140,20,RL,Pave,Lvl,NWAmes,Norm,1Fam,1Story,6,6,1977,1977,Hip,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,1844.0,Ex,Y,SBrkr,1844,0.0,2,0,1,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,546.0,TA,Y,COD,190000
38,1873,534177210,20,RL,Pave,Lvl,NWAmes,Norm,1Fam,1Story,7,6,1973,1973,Hip,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,916.0,1242.0,Fa,Y,SBrkr,1242,0.0,1,1,1,TA,6,Typ,1,TA,Attchd,1973.0,Unf,2.0,528.0,TA,Y,WD ,175500
39,2125,907135050,20,RL,Pave,Lvl,CollgCr,Norm,1Fam,1Story,5,7,1994,1994,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,420.0,990.0,Ex,Y,SBrkr,990,1.0,1,0,1,TA,5,Typ,0,NA,Detchd,1995.0,Unf,1.0,384.0,TA,Y,WD ,146000
40,1489,908102260,20,RL,Pave,Lvl,Edwards,Norm,1Fam,1Story,5,6,1965,1965,Gable,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,830.0,1256.0,Gd,Y,SBrkr,1256,1.0,1,1,1,TA,6,Typ,0,NA,Attchd,1965.0,Fin,1.0,276.0,TA,Y,WD ,147500
41,2383,528110050,20,RL,Pave,Lvl,NridgHt,Norm,1Fam,1Story,10,5,2006,2006,Gable,VinylSd,VinylSd,UnKn,-1.0,Ex,TA,PConc,Ex,Gd,Gd,GLQ,1386.0,2076.0,Ex,Y,SBrkr,2076,1.0,2,1,1,Ex,7,Typ,1,Gd,Attchd,2006.0,Fin,3.0,850.0,TA,Y,New,465000
42,983,923275040,85,RL,Pave,Lvl,Mitchel,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,1097.0,1097.0,Ex,Y,SBrkr,1110,1.0,1,0,1,Gd,4,Typ,1,TA,Attchd,1978.0,Fin,2.0,602.0,TA,Y,WD ,165500
43,1325,902406090,50,RM,Pave,Lvl,OldTown,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,1050.0,Ex,N,FuseF,1795,0.0,2,0,1,TA,7,Typ,0,NA,Attchd,1954.0,Unf,1.0,352.0,Fa,Y,WD ,131500
44,1378,905102170,20,RL,Pave,Lvl,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,1040.0,Ex,Y,SBrkr,1040,1.0,1,0,1,TA,5,Typ,0,NA,Detchd,1965.0,Unf,1.0,384.0,TA,Y,WD ,129500
45,1537,909281110,70,RL,Pave,HLS,Crawfor,Norm,1Fam,2Story,8,6,1935,1950,Gable,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,210.0,608.0,TA,Y,SBrkr,1873,0.0,1,1,1,TA,9,Typ,2,Gd,Detchd,1935.0,Fin,2.0,786.0,Fa,Y,WD ,257076
46,905,909101140,50,RL,Pave,Lvl,Edwards,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,408.0,984.0,Ex,Y,SBrkr,1604,0.0,2,0,1,TA,6,Min2,0,NA,Detchd,1977.0,Unf,2.0,660.0,TA,Y,WD ,117000
47,1532,909275050,70,RL,Pave,HLS,Crawfor,Norm,1Fam,2Story,7,6,1931,2000,Gable,Stucco,Wd Shng,None,0.0,TA,Fa,BrkTil,Gd,TA,No,Unf,0.0,776.0,TA,Y,SBrkr,1502,0.0,1,1,1,TA,6,Typ,1,Gd,Attchd,1931.0,RFn,1.0,270.0,TA,P,WD ,149000
48,132,534475100,20,RL,Pave,Lvl,NAmes,Norm,1Fam,1Story,5,5,1954,1954,Gable,HdBoard,HdBoard,Stone,110.0,TA,TA,CBlock,TA,TA,No,Rec,354.0,1056.0,TA,Y,SBrkr,1063,1.0,1,0,1,TA,6,Typ,0,NA,Attchd,1954.0,RFn,1.0,280.0,TA,Y,WD ,128000
49,1078,528188090,160,RL,Pave,Lvl,NridgHt,Norm,Twnhs,2Story,7,5,2003,2004,Gable,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,764.0,Ex,Y,SBrkr,1626,0.0,2,1,1,Gd,6,Typ,0,NA,BuiltIn,2003.0,RFn,2.0,474.0,TA,Y,WD ,155000
50,2511,533221080,160,FV,Pave,Lvl,Somerst,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,MetalSd,MetalSd,BrkFace,513.0,Gd,TA,PConc,Gd,TA,No,GLQ,353.0,756.0,Ex,Y,SBrkr,1524,0.0,2,1,1,Gd,4,Typ,0,NA,Detchd,2000.0,Unf,2.0,440.0,TA,Y,WD ,166000
51,912,909250220,50,RL,Pave,Lvl,SWISU,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,WdShing,Plywood,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,622.0,1122.0,TA,Y,SBrkr,1981,1.0,2,0,1,Gd,7,Min2,2,TA,Detchd,1981.0,Unf,2.0,576.0,TA,Y,WD ,135000
52,2351,527356020,60,RL,Pave,Lvl,NWAmes,RRAn,1Fam,2Story,7,5,1978,1978,Gable,Plywood,Plywood,BrkFace,184.0,TA,TA,CBlock,Gd,TA,No,BLQ,790.0,1392.0,TA,Y,SBrkr,2784,1.0,3,1,1,Gd,12,Typ,2,TA,Attchd,1978.0,RFn,2.0,564.0,TA,Y,WD ,250000
53,330,923226250,160,RM,Pave,Lvl,MeadowV,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,TA,TA,No,GLQ,176.0,546.0,Ex,Y,SBrkr,1092,0.0,1,1,1,TA,5,Typ,0,NA,NA,0.0,NA,0.0,0.0,NA,Y,WD ,76000
54,2586,535305120,20,RL,Pave,Lvl,NAmes,Norm,1Fam,1Story,6,6,1951,1951,Hip,Wd Sdng,Wd Sdng,BrkFace,522.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,216.0,TA,Y,SBrkr,1575,0.0,1,1,1,Gd,5,Typ,1,Gd,Attchd,1951.0,Unf,2.0,400.0,TA,Y,WD ,155000
55,224,905106140,60,RL,Pave,Lvl,Sawyer,Norm,1Fam,2Story,6,7,1969,1969,Gable,HdBoard,HdBoard,Stone,143.0,TA,TA,CBlock,TA,TA,No,ALQ,371.0,663.0,TA,Y,SBrkr,1352,0.0,1,1,1,TA,7,Typ,0,NA,Attchd,1969.0,Fin,1.0,299.0,TA,Y,WD ,158000
56,98,533212020,160,FV,Pave,Lvl,Somerst,Norm,Twnhs,2Story,7,5,2004,2005,Gable,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,368.0,600.0,Ex,Y,SBrkr,1200,1.0,2,1,1,Gd,4,Typ,0,NA,Detchd,2004.0,RFn,2.0,480.0,TA,Y,WD ,149500
57,2565,534479300,20,RL,Pave,Lvl,NAmes,Norm,1Fam,1Story,5,6,1954,1975,Gable,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,BLQ,486.0,936.0,TA,Y,FuseA,936,0.0,1,0,1,TA,5,Typ,0,NA,Attchd,1954.0,Unf,1.0,240.0,TA,Y,WD ,121000
58,1934,535304170,20,RL,Pave,Lvl,NAmes,Norm,1Fam,1Story,6,7,1953,1953,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,85.0,1040.0,TA,Y,FuseF,1040,0.0,1,0,1,TA,6,Typ,0,NA,Attchd,1953.0,Fin,1.0,293.0,TA,Y,WD ,136000
59,997,527107010,60,RL,Pave,Lvl,Gilbert,Norm,1Fam,2Story,6,5,1996,1996,Gable,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,138.0,916.0,Gd,Y,SBrkr,1636,0.0,2,1,1,TA,7,Typ,1,TA,Attchd,1996.0,Fin,2.0,386.0,TA,Y,WD ,173000
60,64,528382020,60,RL,Pave,Lvl,NoRidge,Norm,1Fam,2Story,8,7,1999,2007,Gable,VinylSd,VinylSd,BrkFace,348.0,Gd,TA,PConc,Gd,TA,No,GLQ,524.0,1152.0,Ex,Y,SBrkr,2270,0.0,2,1,1,Gd,9,Typ,1,Gd,Attchd,1999.0,Fin,3.0,671.0,TA,Y,WD ,290000
61,1799,528458130,60,FV,Pave,Lvl,Somerst,Norm,1Fam,2Story,8,5,2007,2007,Gable,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,64.0,1184.0,Ex,Y,SBrkr,2610,0.0,2,1,1,Ex,11,Typ,1,Gd,BuiltIn,2007.0,Fin,2.0,550.0,TA,Y,New,303477
62,230,905109170,20,RL,Pave,Low,ClearCr,Norm,1Fam,1Story,7,7,1977,2001,Hip,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,CBlock,Gd,TA,Gd,ALQ,1092.0,1420.0,Gd,Y,SBrkr,1483,1.0,1,1,1,TA,4,Typ,2,TA,Attchd,1977.0,RFn,2.0,690.0,TA,Y,WD ,270000
63,1295,902109160,50,RM,Pave,Lvl,OldTown,Artery,1Fam,1.5Fin,5,5,1920,1950,Gable,WdShing,Wd Shng,None,0.0,Fa,Fa,BrkTil,TA,TA,No,Rec,360.0,936.0,Gd,N,FuseA,1740,0.0,1,0,1,Ex,6,Typ,1,Gd,Detchd,1920.0,Unf,1.0,225.0,Fa,N,WD ,122250
64,638,535178120,20,RL,Pave,Lvl,NAmes,Norm,1Fam,1Story,5,5,1955,1955,Gable,AsbShng,AsbShng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,172.0,1382.0,Gd,Y,FuseA,1382,0.0,1,0,1,Gd,6,Typ,0,NA,Attchd,1955.0,Unf,1.0,350.0,TA,Y,WD ,153000
65,2278,923202134,20,RL,Pave,Lvl,Mitchel,Feedr,1Fam,1Story,5,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,206.0,1120.0,Ex,Y,SBrkr,1120,0.0,1,0,1,TA,6,Typ,0,NA,NA,0.0,NA,0.0,0.0,NA,Y,New,147000
66,2202,909252150,70,RL,Pave,Lvl,Crawfor,Norm,1Fam,2Story,7,8,1930,1995,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Gd,TA,No,GLQ,246.0,531.0,TA,Y,SBrkr,1098,1.0,1,0,1,TA,5,Typ,1,Gd,Detchd,1930.0,Unf,1.0,216.0,TA,Y,WD ,148500
67,2833,908188150,160,RM,Pave,Lvl,Edwards,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,Stone,117.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,976.0,Ex,Y,SBrkr,1708,0.0,2,0,1,Gd,7,Maj1,0,NA,Detchd,2004.0,Unf,2.0,380.0,TA,Y,WD ,130000
68,1707,528150040,20,RL,Pave,HLS,NridgHt,Norm,1Fam,1Story,9,5,2006,2006,Hip,MetalSd,MetalSd,Stone,510.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0.0,1802.0,Ex,Y,SBrkr,1802,0.0,2,1,1,Ex,7,Typ,1,Gd,Attchd,2006.0,Fin,3.0,843.0,TA,Y,WD ,372000
69,2428,528228565,120,RL,Pave,Lvl,Blmngtn,Norm,TwnhsE,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,BrkFace,145.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,16.0,1362.0,Ex,Y,SBrkr,1506,0.0,2,0,1,Gd,6,Typ,1,Gd,Attchd,2005.0,Fin,2.0,440.0,TA,Y,WD ,213490
70,242,905453080,20,RL,Pave,Lvl,Edwards,Norm,1Fam,1Story,7,5,2009,2010,Gable,VinylSd,VinylSd,Stone,96.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1346.0,1508.0,Ex,Y,SBrkr,1508,1.0,1,0,1,Gd,5,Typ,2,TA,Attchd,2009.0,RFn,2.0,572.0,TA,Y,Con,308030
71,1564,914453045,20,RL,Pave,Lvl,Mitchel,Norm,1Fam,1Story,7,5,1996,1997,Gable,MetalSd,MetalSd,BrkFace,668.0,Gd,TA,PConc,Ex,TA,Mn,GLQ,700.0,1840.0,Ex,Y,SBrkr,2032,1.0,3,0,1,Gd,7,Typ,0,NA,Attchd,1996.0,Fin,3.0,786.0,TA,Y,WD ,300000
